row,col,z
19,19,6
19,20,6
19,21,6
19,22,6
19,23,6
19,24,6
19,25,6
19,26,6
19,27,6
9,9,9
9,10,10
9,10,11
9,11,10
9,10,12
9,12,10
9,10,13
9,13,10
9,10,14
9,14,10
9,15,10
9,16,10
9,17,10
9,18,10
9,19,10
9,20,10
9,21,10
9,22,10
9,23,10
9,24,10
9,25,10
9,26,10
9,27,10
9,28,10
9,29,10
10,8,9
11,8,10
11,8,11
12,8,10
11,8,12
13,8,10
11,8,13
14,8,10
11,8,14
15,8,10
16,8,10
17,8,10
18,8,10
10,9,8
11,10,8
11,11,8
12,10,8
11,12,8
13,10,8
11,13,8
14,10,8
11,14,8
15,10,8
11,15,8
16,10,8
11,16,8
17,10,8
11,17,8
18,10,8
11,18,8
11,19,8
11,20,8
11,21,8
11,22,8
11,23,8
11,24,8
11,25,8
11,26,8
11,27,8
11,28,8
11,29,8
9,9,10
9,10,9
10,8,10
11,8,9
10,10,8
11,9,8
9,9,11
9,11,9
10,8,11
12,8,9
10,11,8
12,9,8
9,9,12
9,12,9
10,8,12
13,8,9
10,12,8
13,9,8
9,9,13
9,13,9
10,8,13
14,8,9
10,13,8
14,9,8
9,9,14
9,14,9
10,8,14
15,8,9
10,14,8
15,9,8
9,15,9
16,8,9
10,15,8
16,9,8
9,16,9
17,8,9
10,16,8
17,9,8
9,17,9
18,8,9
10,17,8
18,9,8
9,18,9
10,18,8
9,19,9
10,19,8
9,20,9
10,20,8
9,21,9
10,21,8
9,22,9
10,22,8
9,23,9
10,23,8
9,24,9
10,24,8
9,25,9
10,25,8
9,26,9
10,26,8
9,27,9
10,27,8
9,28,9
10,28,8
9,29,9
10,29,8
19,10,10
11,30,10
10,30,11
19,9,11
19,11,9
12,30,9
8,11,11
8,12,12
8,12,13
8,13,12
8,12,14
8,14,12
8,15,12
8,16,12
8,17,12
8,18,12
8,19,12
8,20,12
8,21,12
8,22,12
8,23,12
8,24,12
8,25,12
8,26,12
8,27,12
8,28,12
8,29,12
8,11,12
8,12,11
8,11,13
8,13,11
8,11,14
8,14,11
8,15,11
8,16,11
8,17,11
8,18,11
8,19,11
8,20,11
8,21,11
8,22,11
8,23,11
8,24,11
8,25,11
8,26,11
8,27,11
8,28,11
8,29,11
12,7,11
13,7,12
13,7,13
14,7,12
13,7,14
15,7,12
16,7,12
17,7,12
18,7,12
12,7,12
13,7,11
12,7,13
14,7,11
12,7,14
15,7,11
16,7,11
17,7,11
18,7,11
12,11,7
13,12,7
13,13,7
14,12,7
13,14,7
15,12,7
13,15,7
16,12,7
13,16,7
17,12,7
13,17,7
18,12,7
13,18,7
13,19,7
13,20,7
13,21,7
13,22,7
13,23,7
13,24,7
13,25,7
13,26,7
13,27,7
13,28,7
13,29,7
12,12,7
13,11,7
12,13,7
14,11,7
12,14,7
15,11,7
12,15,7
16,11,7
12,16,7
17,11,7
12,17,7
18,11,7
12,18,7
12,19,7
12,20,7
12,21,7
12,22,7
12,23,7
12,24,7
12,25,7
12,26,7
12,27,7
12,28,7
12,29,7
20,11,12
20,12,11
9,30,13
14,30,8
7,29,13
14,29,6
7,29,14
15,29,6
20,10,13
20,13,10
19,8,13
19,13,8
7,13,13
7,14,14
7,15,14
7,16,14
7,17,14
7,18,14
7,19,14
7,20,14
7,21,14
7,22,14
7,23,14
7,24,14
7,25,14
7,26,14
7,27,14
7,28,14
7,13,14
7,14,13
7,15,13
7,16,13
7,17,13
7,18,13
7,19,13
7,20,13
7,21,13
7,22,13
7,23,13
7,24,13
7,25,13
7,26,13
7,27,13
7,28,13
14,6,13
15,6,14
16,6,14
17,6,14
18,6,14
14,6,14
15,6,13
16,6,13
17,6,13
18,6,13
14,13,6
15,14,6
15,15,6
16,14,6
15,16,6
17,14,6
15,17,6
18,14,6
15,18,6
15,19,6
15,20,6
15,21,6
15,22,6
15,23,6
15,24,6
15,25,6
15,26,6
15,27,6
15,28,6
14,14,6
15,13,6
14,15,6
16,13,6
14,16,6
17,13,6
14,17,6
18,13,6
14,18,6
14,19,6
14,20,6
14,21,6
14,22,6
14,23,6
14,24,6
14,25,6
14,26,6
14,27,6
14,28,6
16,30,7
16,28,5
17,29,5
16,29,5
17,28,5
20,15,9
19,15,7
16,5,15
17,6,16
18,7,17
18,8,18
18,9,19
18,10,20
18,11,21
18,12,22
18,13,22
18,14,22
18,15,22
18,16,22
18,17,22
18,18,22
18,19,22
18,20,22
18,21,22
18,22,22
18,23,22
18,24,22
18,25,22
18,26,23
18,27,24
18,28,25
18,29,25
